version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 123456789012 eni-e3580e90 192.168.6.205 192.168.1.1 55427 80 6 720 534240 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 120.16.188.248 34042 80 6 720 534240 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 120.16.188.248 192.168.1.1 80 34042 6 977 424800 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 192.168.6.205 80 55427 6 977 424800 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.3.131 192.168.1.1 46146 80 6 167 130093 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 145.253.190.189 51506 80 6 167 130093 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 145.253.190.189 192.168.1.1 80 51506 6 798 167334 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 192.168.3.131 80 46146 6 798 167334 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.4.87 192.168.1.1 46811 80 6 763 769867 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 61.209.25.155 35258 80 6 763 769867 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 61.209.25.155 192.168.1.1 80 35258 6 863 762237 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 192.168.4.87 80 46811 6 863 762237 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.5.186 192.168.1.1 58827 80 6 485 464630 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 157.176.124.159 39791 80 6 485 464630 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 157.176.124.159 192.168.1.1 80 39791 6 755 700340 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 192.168.5.186 80 58827 6 755 700340 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.3.175 192.168.1.1 42870 443 6 160 88640 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 59.118.94.135 41451 443 6 160 88640 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 59.118.94.135 192.168.1.1 443 41451 6 373 134720 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 192.168.3.175 443 42870 6 373 134720 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.6.27 192.168.1.1 51638 443 6 6 7926 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 50.137.76.149 57168 443 6 6 7926 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 50.137.76.149 192.168.1.1 443 57168 6 372 4470 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 192.168.6.27 443 51638 6 372 4470 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.2.99 192.168.1.1 38602 443 6 941 1074622 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 59.118.94.135 34745 443 6 941 1074622 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 59.118.94.135 192.168.1.1 443 34745 6 795 721747 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 192.168.2.99 443 38602 6 795 721747 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.4.15 192.168.1.1 43435 80 6 174 240816 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 59.118.94.135 56797 80 6 174 240816 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 59.118.94.135 192.168.1.1 80 56797 6 449 178176 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 192.168.4.15 80 43435 6 449 178176 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.3.131 192.168.1.1 56619 443 6 788 550024 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 170.8.182.82 41933 443 6 788 550024 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 170.8.182.82 192.168.1.1 443 41933 6 29 850252 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 192.168.3.131 443 56619 6 29 850252 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.4.134 192.168.1.1 59466 443 6 447 398724 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 133.5.110.215 59538 443 6 447 398724 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 133.5.110.215 192.168.1.1 443 59538 6 795 404982 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 192.168.4.134 443 59466 6 795 404982 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.3.219 192.168.1.1 60399 443 6 360 326520 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 59.118.94.135 56507 443 6 360 326520 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 59.118.94.135 192.168.1.1 443 56507 6 482 190800 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 192.168.3.219 443 60399 6 482 190800 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.2.110 192.168.1.1 35139 80 6 142 209592 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 231.214.219.246 42163 80 6 142 209592 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 231.214.219.246 192.168.1.1 80 42163 6 941 151656 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 192.168.2.110 80 35139 6 941 151656 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.203 192.168.1.1 45070 443 6 114 154242 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 69.71.249.49 60566 443 6 114 154242 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 69.71.249.49 192.168.1.1 443 60566 6 971 154014 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 192.168.1.203 443 45070 6 971 154014 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.78 192.168.1.1 36634 443 6 257 141093 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 26.42.23.184 53951 443 6 257 141093 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 26.42.23.184 192.168.1.1 443 53951 6 909 235926 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 192.168.1.78 443 36634 6 909 235926 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.203 192.168.1.1 53208 80 6 395 276500 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 123.94.185.170 53747 80 6 395 276500 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 123.94.185.170 192.168.1.1 80 53747 6 136 392235 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 192.168.1.203 80 53208 6 136 392235 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.5.151 192.168.1.1 42087 443 6 654 426408 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 18.81.125.180 57910 443 6 654 426408 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 18.81.125.180 192.168.1.1 443 57910 6 183 866550 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 192.168.5.151 443 42087 6 183 866550 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.4.106 192.168.1.1 60127 80 6 828 851184 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 192.168.1.1 28.131.211.197 42947 80 6 828 851184 1556000000 1556000120 ACCEPT OK
2 123456789012 eni-e3580e90 28.131.211.197 192.168.1.1 80 42947 6 133 1228752 1556000000 1556000120 ACCEPT OK
